"id","email","msg","time","address","isp","country","rdns","user_agent","path"
"17","sus@mna.com","-My business needs some artificial workers. Can we schedule a call to discuss the details?

-yes","2022-01-05 13:27:16","109.75.46.219","Ucom CJSC","Armenia","host-219.46.75.109.ucom.am","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",NULL
"15","test@movsisyan.info","Testing I want to schedule a consultation sometime this week","2022-01-05 12:22:25","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0",NULL
"16","test@movsisyan.info","I want to schedule a consultation sometime this week","2022-01-05 13:14:41","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0",NULL
"14","test@movsisyan.info","Testing I want to schedule a consultation sometime this week","2022-01-05 12:21:40","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0",NULL
"13","nunebadalyan@mail.ru","MHER ARI TUN","2022-01-05 12:12:13","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0",NULL
"12","test@movsisyan.info","My business needs some artificial workers. Can we schedule a call to discuss the details?","2022-01-05 12:03:08","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0",NULL
"11","test@movsisyan.info","Testing I want a custom dashboard. Can we schedule a call to discuss the details?","2022-01-05 11:59:34","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0",NULL
"10","test@movsisyan.info","I want a custom dashboard. Can we schedule a call to discuss the details?","2022-01-05 11:46:38","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0",NULL
"18","sak@ma.dik","data wooooooooorld ar ya kreyzi?","2022-01-05 13:28:29","109.75.46.219","Ucom CJSC","Armenia","host-219.46.75.109.ucom.am","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",NULL
"19","Can'tontact@yiu.ru","There is kinda bug in you website...","2022-01-06 06:42:44","37.186.100.46","GNC-Alfa CJSC","Armenia","37.186.100.46","Mozilla/5.0 (Linux; Android 11; Mi 9T Pro Build/RKQ1.200826.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.4664.104 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/348.0.0.39.118;]",NULL
"20","valid@email.com","Testing contact form","2022-01-06 06:44:57","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","Mozilla/5.0 (Android 10; Mobile; rv:95.0) Gecko/95.0 Firefox/95.0",NULL
"21","Valodik@gmail.com","Hamart ktas? $)) ","2022-01-09 12:11:07","217.76.14.60","MTS Armenia CJSC","Armenia","60.14.76.217.in-addr.mts.am","Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 216.0.0.12.135 (iPhone12,5; iOS 15_1; en_AM; en-US; scale=3.00; 1242x2688; 338132253)",NULL
"85","test@test.com","wdadwad","2022-07-24 06:57:31","37.252.88.38","Ucom CJSC","Armenia","host-38.88.252.37.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0",NULL
"83","test@gmail.com","Testing","2022-07-16 09:30:59","37.252.90.245","Ucom CJSC","Armenia","host-245.90.252.37.ucom.am","Mozilla/5.0 (Android 10; Mobile; rv:95.0) Gecko/95.0 Firefox/95.0",NULL
"84","test@email.com",,"2022-07-24 06:56:48","37.252.88.38","Ucom CJSC","Armenia","host-38.88.252.37.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0",NULL
"82","asd@askdjnask.asdj","I have some data, and I want to get valuable insights. Can we schedule a call to discuss the details?","2022-03-07 04:24:42","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36",NULL
"86","tesdt@est.am","at","2022-07-27 14:02:34","37.252.91.62","Ucom CJSC","Armenia","host-62.91.252.37.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0","home"
